id ,meal
1,"Cơm, Tôm Chiên Giòn, Bắp Cải Xào, Canh Khoai Mỡ Nấu Thịt Heo, Dưa Hấu"
2,"Cơm, Mực Nhồi Thịt Chiên, Canh Cải Xanh Nấu Cá Thác Lác, Vú Sữa"
3,"Cơm, Tôm Sốt Cà, Cải Thìa Xào Thịt Heo, Chuối Già"
4,"Cơm, Trứng Cuộn Tam Sắc, Canh Mồng Tơi Nấu Thịt Heo"
5,"Cơm, Bò Lúc Lắc, Giá Hẹ Xào, Canh Bông Cải Nấm Rơm Thịt Heo, Quả Thanh Long"
6,"Cơm, Cá Diêu Hồng Kho Hành Gừng, Súp Lơ Xanh Xào, Canh Cà Chua Trứng Gà, Xoài Chín"
7,"Mì Ý Sốt Bò Bằm, Nước Ép Cà Rốt 100% "
8,"Miến Sườn Heo, Nutimilk Sữa Chua Có Đường Hộp 100g"
9,"Cơm, Thịt Heo Nạc Chiên Sả, Su Su Xào Tỏi, Canh Kim Chi, Bưởi"
10,"Cơm, Cá Hú, Cải Thìa Xào Tỏi, Canh Đu Đủ Xanh Nấu Thịt Heo, Dưa Hấu "
11,"Cơm, Mực Xào Chua Ngọt, Đậu Cove, Canh Chua Nấm Kim Châm, Táo Tây"
12,"Cơm, Gà Rô Ti, Canh Khổ Qua Nhồi Thịt, Nhãn       "
13,"Cơm, Gà Hấp Lá Chanh, Mít Non Xào, Canh Cải Cúc Nấu Tôm, Táo Tây"
14,"Cơm, Bò Xào Dưa Chua, Nấm Rơm Xào Lòng Gà, Canh Bí Đỏ Nấu Thịt Heo, Quả Thanh Long"
15,"Cơm, Cá Chim Chiên, Salad Trộn Giấm, Canh Rong Biển Nấu Thịt Bò, Ổi"
16,"Cơm, Bò Hầm Tiêu Xanh, Mực Xào Thập Cẩm, Canh Mướp Mồng Tơi Nấu Tôm, Bưởi "
17,"Cơm, Thịt Heo Sốt Chua Ngọt, Bông Hẹ Xào Thịt Bò, Canh Khổ Qua Nấu Cá Thác Lác, Củ Sắn"
18,"Cơm, Tôm Rim Thịt Ba Rọi, Đậu Cô Ve (Đậu Que) Xào Thịt Bò, Canh Măng Chua Cá Điêu Hồng, Dưa Bở"
19,"Mì Xào Chay, Khoai Lang"
20,"Cơm, Đậu Hũ Sốt Cà, Cải Thìa Xào Tỏi, Canh Rau Ngót, Nhãn"
21,"Cơm, Tàu Hủ Ky Xào Rau Củ, Đậu Bắp Luộc, Canh Su Su Cà Rốt, Ổi"
22,"Bánh Canh Giò Heo, Đu Đủ Chín"
23,"Cơm, Thịt Heo Nạc Kho Tiêu, Canh Cải Bó Xôi Thịt Heo, Rau Muống Luộc, Chuối Già"
24,"Cơm, Cá Lóc Kho Tộ, Canh Rau Đay Nấu Cua, Súp Lơ Xanh Luộc, Táo Tây"
25,"Bún Bò Huế, Nutimilk Sữa Chua Có Đường Hộp 100g"
26,"Cơm, Tôm Rim Thịt Ba Rọi, Súp Lơ Xanh Xào Cà Rốt, Canh Bầu, Mận"
27,"Cơm, Cá Ngừ Kho Thơm, Cải Ngọt Xào Tỏi, Canh Đu Đủ Xanh, Bưởi"
28,"Bánh Canh Cua, Chuối Tiêu"
29,"Cơm, Đậu Hũ Kho Thịt, Bí Đao Đậu Bắp Luộc, Canh Cải Bó Xôi Thịt Heo, Dưa Hấu"
30,"Cơm, Vịt Kho Gừng, Giá Hẹ Xào Thịt Gà, Canh Chua Rau Muống Nấu Tôm, Quít "
31,"Miến Trộn Chay, Chuối Tiêu"
32,"Cơm, Đậu Hũ Kho Nấm Rơm, Susu Xào, Canh Khoai Mỡ, Quýt Đường"
33,"Cơm, Mì Căn Xào Sả, Mướp Xào, Canh Cải Thảo, Ổi"
34,"Khoai Mì Chấm Muối Mè, Nutimilk Sữa Tươi 100 Điểm Ít Đường Hộp 180ml"
35,"Cơm, Đậu Hủ Chiên Chấm Tương, Măng Xào Đậu Hũ, Canh Củ Sen Nấu Nấm Mỡ, Dưa Lưới"
36,"Bún Riêu Chay, Quả Thanh Long"
37,"Cơm, Chả Cua Hấp, Bắp Cải Luộc, Canh Bí Đao Nấu Tôm, Bưởi"
38,"Cơm, Thịt Heo Nhồi Cà Chua, Cải Thìa Xào Nấm Hương, Canh Bầu Nấu Thịt Bằm, Nhãn"
39,"Cơm, Xíu Mại Nhồi Trứng Cút, Bầu Đậu Bắp Luộc, Canh Cải Bó Xôi Thịt Bò, Dưa Hấu"
40,"Cơm, Chả Cá Thu Chiên, Cà Bát Xào Thịt Heo, Canh Chua Cá Thát Lát, Quít "
41,"Cơm, Đậu Hũ Dồn Thịt Sốt Cà, Súp Lơ Xanh Cà Rốt Xào Thịt Bò, Quả Thanh Long"
42,"Cơm, Sườn Non Xào Chua Ngọt, Su Su Cà Rốt Xào Tôm, Canh Cà Chua Trứng Gà, Nhãn"
43,"Cơm, Tôm Sốt Nấm, Canh Khoai Củ Thịt Bằm, Bông Cải Cà Rốt Xào, Chuối Già"
44,"Cơm, Phi Lê Cá Basa Chiên, Canh Rau Dền Nấu Thịt Heo, Táo Tây, Nuvi Sữa Lắc Trái Cây Hương Cam Cho Trẻ 1 Tuổi Trở Lên Hộp 110ml"
45,"Miến Thịt Gà Nấu Nấm, Nutimilk Sữa Tươi 100 Điểm Có Đường Hộp 110ml"
46,"Cơm, Chả Cua Hấp, Giá Mướp Xào Thịt Heo, Canh Đu Đủ Xanh Nấu Tôm, Bưởi "
47,"Cơm, Sườn Nấu Đậu, Canh Chua Cá Thát Lát, Nuvi Sữa Lắc Trái Cây, Mận"
48,"Súp Tôm, Nuvi Sữa Lắc Trái Cây"
49,"Cơm, Sườn Cốt Lếch Ram, Ngọn Su Su Xào Thịt Bò, Canh Rau Ngót Thịt Heo, Bưởi"
50,"Cơm, Trứng Chiên Nấm, Súp Lơ Xanh Luộc, Canh Mồng Tơi Nấu Tôm, Hồng Xiêm"
51,"Bắp Nếp Luộc, Sữa Đậu Nành Bổ Sung Canxi Nuti"
52,"Cơm, Xíu Mại Nhồi Trứng Cút, Dưa Leo Cà Chua Xà Lách, Canh Bầu Nấu Tôm, Xoài Chín"
53,"Cơm, Thịt Heo Kho Củ Cải, Cà Tím Xào Thịt Bằm, Canh Cải Bó Xôi Thịt Bò, Chuối Già"
54,"Bún Bò Huế, Nutimilk Sữa Chua Có Đường Hộp 100g"
55,"Cơm, Sườn Nấu Đậu, Ngọn Su Su Xào Thịt Bò, Canh Rau Ngót Thịt Heo, Bưởi"
56,"Cơm, Cá Bống Chiên Giòn, Súp Lơ Xanh Luộc, Canh Mồng Tơi Nấu Tôm, Hồng Xiêm"
57,"Bánh Canh Tôm Thịt, Nuvi Sữa Chua Uống Men Sống Chai 65ml"
58,"Cơm, Cá Trê Chiên Mắm Gừng, Đậu Que Xào Cà Rốt, Canh Cải Xanh, Chuối Già"
59,"Cơm, Cốt Lết Ram Mè, Bắp Cải Luộc, Canh Cải Cúc Nấu Thịt Heo, Mận"
60,"Nui Xào Chay, Nutimilk Sữa Chua Có Đường Hộp 100g"
61,"Cơm, Chả Chay Kho Tiêu, Súp Lơ Xanh Xào Cà Rốt, Canh Bầu, Mận"
62,"Cơm, Đậu Hủ Kho Rau Củ Chay, Cải Ngọt Xào Tỏi, Canh Đu Đủ, Bưởi"
63,"Cơm, Thịt Heo Kho Trứng Cút, Salad Trộn Giấm, Canh Rong Biển Nấu Tôm, Chuối Già"
64,"Cơm, Bò Xào Hành, Gỏi Măng Tươi, Canh Rau Đay Nấu Cua, Dưa Lưới"
65,"Cơm, Thịt Ba Rọi Kho Mắm Ruôc, Salad Trộn Giấm, Canh Cà Rốt Khoai Tây Thịt Bằm, Dưa Lê, Nutimilk Sữa Chua Có Đường Hộp 100g"
66,"Cơm, Tôm Rim Thịt Ba Rọi, Súp Lơ Cà Rốt Luộc, Canh Rau Ngót Nấu Thịt Bằm, Mận"
67,"Cơm, Cá Hú Kho Tiêu, Cải Thìa Xào Tỏi, Canh Rau Ngót, Nhãn"
68,"Cơm, Bò Xào Hành Cần, Đậu Bắp Luộc, Canh Su Su Cà Rốt, Ổi"
69,"Bánh Cuốn, Táo Tây"
70,"Cơm, Chả Cá Thát Lát Chiên, Bắp Cải Xào Thịt Heo, Canh Măng Chua Cá Điêu Hồng, Mận"
71,"Cơm, Sườn Non Xào Chua Ngọt, Đậu Cove Luộc, Canh Cải Thảo Nấu Thịt Heo, Đào"
72,"Cơm, Chả Chay Kho Tiêu, Nấm Xào Sả Ớt, Canh Khổ Qua Nấm, Mận"
73,"Cơm, Đậu Hủ Chiên Sả, Susu Cà Rốt Xào Chay, Canh Bắp Cải Cà Rốt, Quả Thanh Long"
74,"Mì Quảng, Táo Ta"
75,"Cơm, Xíu Mại Nhồi Trứng Cút, Khổ Qua (Mướp Đắng) Xào Trứng, Canh Cải Xanh Nấu Cá Thác Lác, Lê"
76,"Cơm, Cá Cơm/ Cá Bống Kho Tiêu, Canh Đu Đủ Xanh Nấu Thịt Heo, Cải Ngọt Luộc, Dưa Lê"
77,"Cơm, Sườn Nướng Chay, Canh Súp Lơ Cà Rốt, Dưa Hấu"
78,"Cơm, Nấm Sốt Dầu Hào, Canh Rau Ngót, Hồng Xiêm"
79,"Cơm, Cà Chua Dồn Thịt Chay, Cải Thìa Sốt Nấm Đông Cô, Canh Cải Cúc Đậu Hũ, Ổi"
80,"Miến Trộn Rau Củ Chay, Mãng Cầu Ta"
81,"Cơm, Chả Mực Chiên, Giá Mướp Xào Tôm Khô, Canh Bắp Cải Nấu Tôm, Bưởi"
82,"Cơm, Cánh Gà Chiên Giòn, Cần Tây Xào Gan Heo, Canh Bí Đỏ Nấu Thịt Heo, Chuối Già"
83,"Bún Mọc, Nuvi Sữa Chua Uống Men Sống Chai 65ml"
84,"Cơm, Cá Nục Chiên, Bắp Cải Xào, Canh Rau Má, Bưởi"
85,"Cơm, Đậu Hũ Thịt Bằm Sốt Cà Chua, Khổ Qua (Mướp Đắng) Xào, Canh Rau Dền, Nhãn"
86,"Cơm, Thịt Heo Kho Trứng Cút, Cải Ngọt Luộc, Canh Khổ Qua Nhồi Thịt, Quýt Đường"
87,"Cơm, Gà Kho Hành Gừng, Đậu Cove Luộc, Canh Đu Đủ Xanh Nấu Sườn Heo, Dưa Hấu"
88,"Cơm, Sườn Non Xào Chua Ngọt, Canh Bí Đao Nấu Thịt Heo, Bưởi"
89,"Cơm, Cá Chim Kho Ngót, Súp Lơ Xanh Luộc, Canh Mồng Tơi Nấu Tôm, Xoài Chín"
